title,audienceRating,contentRating,durationHuman,rating,studio,year
2 Fast 2 Furious,,PG-13,1 hr 48 mins,6.4,Mikona Productions GmbH & Co. KG,2003
8 Mile,5.4,R,1 hr 50 mins,7.5,Mikona Productions GmbH & Co. KG,2002
10 Cloverfield Lane,7.9,PG-13,1 hr 44 mins,9,Bad Robot,2016
12 Years a Slave,9,R,2 hrs 14 mins,9.5,Plan B Entertainment,2013
13 Hours,8.2,R,2 hrs 24 mins,5.1,Paramount,2016
21 Jump Street,8.2,R,1 hr 50 mins,8.5,Columbia Pictures,2012
22 Jump Street,7.7,R,1 hr 52 mins,8.4,Columbia Pictures,2014
28 Days Later...,8.5,R,1 hr 58 mins,8.7,DNA Films,2002
The 40-Year-Old Virgin,8.4,R,2 hrs 12 mins,8.5,Universal Pictures,2005
127 Hours,8.5,R,1 hr 34 mins,9.3,Fox Searchlight Pictures,2011
300,8.9,R,1 hr 57 mins,6.1,Virtual Studios,2007
300: Rise of an Empire,5.1,R,1 hr 43 mins,4.5,Legendary Pictures,2014
500 Days of Summer,8.4,PG-13,1 hr 35 mins,8.6,Fox Searchlight Pictures,2009
1917,,R,1 hr 59 mins,8,DreamWorks Pictures,2019
2001: A Space Odyssey,8.9,G,2 hrs 29 mins,9.2,Stanley Kubrick Productions,1968
2012,4.7,PG-13,2 hrs 38 mins,3.9,Columbia Pictures,2009
The A-Team,6.6,PG-13,2 hrs 14 mins,4.9,Phoenix Film Partners,2010
The ABCs of Death,2.3,Not Rated,2 hrs 9 mins,3.7,Magnet Releasing,2013
Ace Ventura: Pet Detective,5.7,PG-13,1 hr 26 mins,4.8,Warner Bros. Pictures,1994
Ace Ventura: When Nature Calls,7.2,PG-13,1 hr 34 mins,2.4,Warner Bros. Pictures,1995
Airplane II: The Sequel,5,PG,1 hr 24 mins,4.2,Paramount,1982
Airplane!,8.9,PG,1 hr 28 mins,9.7,Paramount,1980
Aladdin,9.4,PG,2 hrs 8 mins,5.7,Walt Disney Pictures,2019
Ali G Indahouse,5.4,R,1 hr 27 mins,5.6,Universal Pictures,2002
Alice in Wonderland,8.1,PG,1 hr 49 mins,2.2,Walt Disney Pictures,2010
Alice Through the Looking Glass,4.8,PG,1 hr 53 mins,2.8,Walt Disney Pictures,2016
Alien,,R,1 hr 56 mins,8.1,20th Century Fox,1979
Alien Resurrection,,R,1 hr 56 mins,6.1,20th Century Fox,1997
Alien vs. Predator,3.9,PG-13,1 hr 49 mins,2.1,20th Century Fox,2004
Alien: Covenant,,R,2 hrs 2 mins,6,20th Century Fox,2017
Alien³,,R,2 hrs 25 mins,6.3,20th Century Fox,1992
Aliens,,R,2 hrs 34 mins,7.9,20th Century Fox,1986
Aliens vs. Predator: Requiem,3,R,1 hr 41 mins,1.2,20th Century Fox,2007
Alita: Battle Angel,,PG-13,2 hrs 2 mins,7.2,Lightstorm Entertainment,2019
Allegiant,,PG-13,2 hrs,6.1,Summit Entertainment,2016
