title,audienceRating,contentRating,duration,durationHuman,rating,studio,year
The Adventures of Ichabod and Mr. Toad,7.1,G,4085169,1 hr 8 mins,9.4,Walt Disney Productions,1950
Agent Cody Banks,3.2,PG,6128206,1 hr 42 mins,3.8,Metro-Goldwyn-Mayer,2003
Agent Cody Banks 2: Destination London,3.1,PG,6003059,1 hr 40 mins,1.4,Splendid Pictures,2004
Akeelah and the Bee,8.1,PG,6775315,1 hr 53 mins,8.5,Lions Gate Films,2006
Aladdin,9.2,G,5439954,1 hr 31 mins,9.5,Walt Disney Pictures,1992
Alice in Wonderland,7.8,G,4516222,1 hr 15 mins,8.4,Walt Disney Productions,1951
The Angry Birds Movie,4.6,PG,5833876,1 hr 37 mins,4.3,Columbia Pictures,2016
The Angry Birds Movie 2,8.4,PG,5807827,1 hr 37 mins,7.3,Columbia Pictures,2019
The Aristocats,7,G,4707829,1 hr 18 mins,6.3,Walt Disney Productions,1970
The Bad Guys,9.3,PG,6007079,1 hr 40 mins,8.8,Universal Pictures,2022
Bambi,7.3,G,4190569,1 hr 10 mins,9.1,Walt Disney Productions,1942
Bean,5.3,PG-13,5357397,1 hr 29 mins,4.4,Universal Pictures,1997
Beauty and the Beast,9.2,G,5504978,1 hr 32 mins,9.4,Walt Disney Pictures,1991
Bee Movie,5.3,PG,5440894,1 hr 31 mins,4.9,DreamWorks Animation,2007
The BFG,5.7,PG,7026089,1 hr 57 mins,7.4,Walt Disney Pictures,2016
Big,8.2,PG,7825044,2 hrs 10 mins,9.7,Gracie Films,1988
Big Fat Liar,4.4,PG,5267434,1 hr 28 mins,4.5,Tollin/Robbins Productions,2002
Big Hero 6,9.1,PG,6112745,1 hr 42 mins,9,Walt Disney Pictures,2014
The Black Cauldron,4.8,PG,4805508,1 hr 20 mins,5.5,Walt Disney Pictures,1985
Blank Check,3.4,PG,5594338,1 hr 33 mins,0.9,Walt Disney Pictures,1994
Bolt,7.4,PG,5781886,1 hr 36 mins,8.9,Walt Disney Pictures,2008
The Boss Baby,5.1,PG,5850856,1 hr 38 mins,5.3,DreamWorks Animation,2017
The Boss Baby 2: Family Business,8.9,PG,6432764,1 hr 47 mins,4.6,Universal Pictures,2021
Brave,7.5,PG,5617405,1 hr 34 mins,7.9,Walt Disney Pictures,2012
The Brave Little Toaster,8.1,G,5410988,1 hr 30 mins,7.7,Walt Disney Pictures,1987
Bridge to Terabithia,7,PG,5731837,1 hr 36 mins,8.5,Walt Disney Pictures,2007
A Bug's Life,7.3,G,5693715,1 hr 35 mins,9.2,Walt Disney Pictures,1998
Captain Underpants: The First Epic Movie,6.1,PG,5320340,1 hr 29 mins,8.7,DreamWorks Animation,2017
Cars,7.9,G,6996050,1 hr 57 mins,7.4,Walt Disney Pictures,2006
Cars 2,4.9,G,6376572,1 hr 46 mins,3.9,Walt Disney Pictures,2011
Cars 3,6.9,G,6145106,1 hr 42 mins,6.9,Pixar,2017
Casper,4.9,PG,6008480,1 hr 40 mins,5.1,Universal Pictures,1995
Cats & Dogs,3.2,PG,5235274,1 hr 27 mins,5.3,Village Roadshow Pictures,2001
Cats & Dogs 3: Paws Unite,2.3,PG,5047797,1 hr 24 mins,1.1,Warner Bros. Pictures,2020
Cats & Dogs: The Revenge of Kitty Galore,3.8,PG,4939977,1 hr 22 mins,1.3,Warner Bros. Entertainment,2010
Charlie and the Chocolate Factory,5.1,PG,6923602,1 hr 55 mins,8.3,The Zanuck Company,2005
A Charlie Brown Christmas,8.7,G,1528872,25 mins,8.4,Lee Mendelson Film Productions,1965
Cheaper by the Dozen,5.6,PG,5933178,1 hr 39 mins,2.4,20th Century Fox,2003
Cheaper by the Dozen,3.6,PG,6452842,1 hr 48 mins,3.5,Walt Disney Pictures,2022
Cheaper by the Dozen 2,5.7,PG,5634132,1 hr 34 mins,0.6,20th Century Fox,2005
Chicken Little,4.7,G,4855007,1 hr 21 mins,3.6,Walt Disney Pictures,2005
Chicken Run,6.5,G,5076306,1 hr 25 mins,9.7,DreamWorks Pictures,2000
Chip 'n Dale: Rescue Rangers,8,PG,5805984,1 hr 37 mins,8,Walt Disney Pictures,2022
A Christmas Story,8.8,PG,5603112,1 hr 33 mins,9,Metro-Goldwyn-Mayer,1983
Cinderella,8,G,4468842,1 hr 14 mins,9.7,Walt Disney Productions,1950
Cloudy with a Chance of Meatballs,6,PG,5393384,1 hr 30 mins,,Columbia Pictures,2009
Cloudy with a Chance of Meatballs 2,6.6,PG,5689704,1 hr 35 mins,7.1,Columbia Pictures,2013
Coco,9.4,PG,6302119,1 hr 45 mins,9.7,Walt Disney Pictures,2017
The Croods,7.7,PG,5916925,1 hr 39 mins,7.2,DreamWorks Animation,2013
The Croods: A New Age,9.4,PG,5714643,1 hr 35 mins,7.7,Universal Pictures,2020
D2: The Mighty Ducks,5.9,PG,6400425,1 hr 47 mins,2.1,Avnet/Kerner Productions,1994
D3: The Mighty Ducks,4.5,PG,6231251,1 hr 44 mins,2,Avnet/Kerner Productions,1996
Dennis the Menace,3.8,PG,5755708,1 hr 36 mins,2.7,Hughes Entertainment,1993
