title,audienceRating,contentRating,duration,durationHuman,rating,studio,tagline,year,media.audioChannels,media.bitrate,media.hdr,media.videoCodec,media.videoFrameRate,media.videoResolution,media.width
The Adventures of Ichabod and Mr. Toad,7.1,G,4085169,1 hr 8 mins,9.4,Walt Disney Productions,Two Tall Tales by the world's top story-tellers in one hilarious All-Cartoon Feature!,1950,6,2725,FALSE,h264,24p,1080,1440
Agent Cody Banks,3.2,PG,6128206,1 hr 42 mins,3.8,Metro-Goldwyn-Mayer,Save the world. Get the girl. Pass math.,2003,6,2224,FALSE,hevc,24p,1080,1920
Agent Cody Banks 2: Destination London,3.1,PG,6003059,1 hr 40 mins,1.4,Splendid Pictures,Adventure is an attitude.,2004,6,2224,FALSE,hevc,24p,1080,1920
Akeelah and the Bee,8.1,PG,6775315,1 hr 53 mins,8.5,Lions Gate Films,Changing the world... one word at a time.,2006,6,2224,FALSE,hevc,24p,1080,1920
Aladdin,9.2,G,5439954,1 hr 31 mins,9.5,Walt Disney Pictures,Wish granted!,1992,6,4607,FALSE,hevc,24p,1080,1916
Alice in Wonderland,7.8,G,4516222,1 hr 15 mins,8.4,Walt Disney Productions,A world of wonders in one great picture!,1951,6,2225,FALSE,hevc,24p,1080,1424
The Angry Birds Movie,4.6,PG,5833876,1 hr 37 mins,4.3,Columbia Pictures,Why so angry?,2016,8,5808,FALSE,hevc,24p,1080,1920
The Angry Birds Movie 2,8.4,PG,5807827,1 hr 37 mins,7.3,Columbia Pictures,Frenemies Unite,2019,6,6190,FALSE,hevc,24p,1080,1920
The Aristocats,7,G,4707829,1 hr 18 mins,6.3,Walt Disney Productions,A tune-filled animated extravaganza.,1970,6,2225,FALSE,hevc,24p,1080,1796
The Bad Guys,9.3,PG,6007079,1 hr 40 mins,8.8,Universal Pictures,Good is no fun at all.,2022,8,6006,FALSE,hevc,24p,1080,1920
Bambi,7.3,G,4190569,1 hr 10 mins,9.1,Walt Disney Productions,A great love story.,1942,6,2225,FALSE,hevc,24p,1080,1452
Bean,5.3,PG-13,5357397,1 hr 29 mins,4.4,Universal Pictures,One Man. One Masterpiece. One Very Big Mistake.,1997,6,2224,FALSE,hevc,24p,1080,1920
Beauty and the Beast,9.2,G,5504978,1 hr 32 mins,9.4,Walt Disney Pictures,The most beautiful love story ever told.,1991,8,5807,FALSE,hevc,24p,1080,1920
Bee Movie,5.3,PG,5440894,1 hr 31 mins,4.9,DreamWorks Animation,Born to bee wild.,2007,6,2225,FALSE,hevc,24p,1080,1920
The BFG,5.7,PG,7026089,1 hr 57 mins,7.4,Walt Disney Pictures,The world is more giant than you can imagine.,2016,6,2224,FALSE,hevc,24p,1080,1920
Big,8.2,PG,7825044,2 hrs 10 mins,9.7,Gracie Films,Have you ever had a really big secret?,1988,6,7038,FALSE,hevc,24p,1080,1920
Big Fat Liar,4.4,PG,5267434,1 hr 28 mins,4.5,Tollin/Robbins Productions,Two friends are about to cut one Hollywood big shot down to size.,2002,6,2224,FALSE,hevc,24p,1080,1920
Big Hero 6,9.1,PG,6112745,1 hr 42 mins,9,Walt Disney Pictures,From the creators of Wreck-It Ralph and Frozen.,2014,8,6247,FALSE,hevc,24p,1080,1920
The Black Cauldron,4.8,PG,4805508,1 hr 20 mins,5.5,Walt Disney Pictures,Hidden by darkness. Guarded by witches. Discovered by a boy. Stolen by a king. Whoever owns it will rule the world. Or destroy it.,1985,6,5993,FALSE,hevc,24p,1080,1920
Blank Check,3.4,PG,5594338,1 hr 33 mins,0.9,Walt Disney Pictures,Quick thinking landed him a million bucks... now everybody's after it!,1994,2,3446,FALSE,hevc,24p,1080,1920
Bolt,7.4,PG,5781886,1 hr 36 mins,8.9,Walt Disney Pictures,Fully Awesome. Ridonculous. Let It Begin.,2008,6,4150,FALSE,hevc,24p,1080,1920
The Boss Baby,5.1,PG,5850856,1 hr 38 mins,5.3,DreamWorks Animation,Born leader,2017,8,4503,FALSE,hevc,24p,1080,1920
The Boss Baby 2: Family Business,8.9,PG,6432764,1 hr 47 mins,4.6,Universal Pictures,Playtime is over.,2021,8,6523,FALSE,hevc,24p,1080,1920
Brave,7.5,PG,5617405,1 hr 34 mins,7.9,Walt Disney Pictures,Change your fate.,2012,8,4758,FALSE,hevc,24p,1080,1920
The Brave Little Toaster,8.1,G,5410988,1 hr 30 mins,7.7,Walt Disney Pictures,Plug into the adventure!,1987,6,2020,FALSE,hevc,24p,480,710
Bridge to Terabithia,7,PG,5731837,1 hr 36 mins,8.5,Walt Disney Pictures,"Close your eyes, but keep your mind wide open.",2007,6,7203,FALSE,hevc,24p,1080,1920
A Bug's Life,7.3,G,5693715,1 hr 35 mins,9.2,Walt Disney Pictures,An epic presentation of miniature proportions.,1998,6,5051,FALSE,hevc,24p,1080,1920
Captain Underpants: The First Epic Movie,6.1,PG,5320340,1 hr 29 mins,8.7,DreamWorks Animation,50% Hero. 100% Cotton,2017,8,6841,FALSE,hevc,24p,1080,1920
Cars,7.9,G,6996050,1 hr 57 mins,7.4,Walt Disney Pictures,Ahhh... it's got that new movie smell.,2006,6,5957,FALSE,hevc,24p,1080,1920
Cars 2,4.9,G,6376572,1 hr 46 mins,3.9,Walt Disney Pictures,Ka-ciao!,2011,8,5229,FALSE,hevc,24p,1080,1920
Cars 3,6.9,G,6145106,1 hr 42 mins,6.9,Pixar,It's not over until lightning strikes.,2017,8,4874,FALSE,hevc,24p,1080,1920
Casper,4.9,PG,6008480,1 hr 40 mins,5.1,Universal Pictures,Seeing is believing,1995,6,5012,FALSE,hevc,24p,1080,1920
Cats & Dogs,3.2,PG,5235274,1 hr 27 mins,5.3,Village Roadshow Pictures,Things Are Gonna Get Hairy!,2001,6,2224,FALSE,hevc,24p,1080,1920
Cats & Dogs 3: Paws Unite,2.3,PG,5047797,1 hr 24 mins,1.1,Warner Bros. Pictures,Opurration Mass Mayhem!,2020,6,2224,FALSE,hevc,24p,1080,1920
Cats & Dogs: The Revenge of Kitty Galore,3.8,PG,4939977,1 hr 22 mins,1.3,Warner Bros. Entertainment,Just like real spies... only furrier.,2010,6,2225,FALSE,hevc,24p,1080,1920
Charlie and the Chocolate Factory,5.1,PG,6923602,1 hr 55 mins,8.3,The Zanuck Company,Prepare for a taste of adventure.,2005,6,6245,FALSE,hevc,24p,1080,1920
A Charlie Brown Christmas,8.8,G,1528872,25 mins,8.5,Lee Mendelson Film Productions,"That's what Christmas is all about, Charlie Brown!",1965,6,5877,FALSE,hevc,24p,1080,1480
Cheaper by the Dozen,5.6,PG,5933178,1 hr 39 mins,2.4,20th Century Fox,Growing pains? They've got twelve of them!,2003,6,2224,FALSE,hevc,24p,1080,1920
Cheaper by the Dozen,3.5,PG,6452842,1 hr 48 mins,3.5,Walt Disney Pictures,Make room for family.,2022,6,2225,FALSE,hevc,24p,1080,1920
Cheaper by the Dozen 2,5.7,PG,5634132,1 hr 34 mins,0.6,20th Century Fox,Same Big Family... Even Bigger Adventure.,2005,6,2223,FALSE,hevc,24p,1080,1920
Chicken Little,4.6,G,4855007,1 hr 21 mins,3.6,Walt Disney Pictures,"When it comes to saving the world, it helps to be a little chicken.",2005,6,2223,FALSE,hevc,24p,1080,1920
Chicken Run,6.5,G,5076306,1 hr 25 mins,9.7,DreamWorks Pictures,This ain't no chick flick. It's poultry in motion.,2000,7,5715,FALSE,hevc,24p,1080,1920
Chip 'n Dale: Rescue Rangers,8,PG,5805984,1 hr 37 mins,8,Walt Disney Pictures,It's not a reboot. It's a comeback.,2022,6,7643,FALSE,h264,24p,1080,1920
A Christmas Story,8.8,PG,5603112,1 hr 33 mins,9,Metro-Goldwyn-Mayer,"Peace, Harmony, Comfort and Joy... Maybe Next Year.",1983,2,5577,FALSE,hevc,24p,1080,1904
Cinderella,8,G,4468842,1 hr 14 mins,9.7,Walt Disney Productions,The greatest love story ever told.,1950,6,2225,FALSE,hevc,24p,1080,1452
